#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                  Branch is bug-fixes                                
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [ X ] Hartree size                              :  1
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : T-ordered
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        5.000000           1.951481           2.743179           1.951480           2.743179
        5.037593           2.116814           2.749207           2.116813           2.749207
        5.075188           2.287201           2.716195           2.287199           2.716195
        5.112782           2.449976           2.657093           2.449975           2.657093
        5.150376           2.613561           2.586276           2.613562           2.586276
        5.187970           2.794513           2.487408           2.794514           2.487407
        5.225564           2.971802           2.341222           2.971801           2.341222
        5.263157           3.131205           2.161441           3.131206           2.161440
        5.300752           3.285767           1.945971           3.285767           1.945970
        5.338346           3.420354           1.656740           3.420354           1.656740
        5.375940           3.461273           1.295383           3.461273           1.295383
        5.413534           3.372535           0.947821           3.372535           0.947822
        5.451128           3.216749           0.674421           3.216749           0.674421
        5.488721           3.037725           0.443800           3.037725           0.443799
        5.526316           2.807495           0.255750           2.807495           0.255750
        5.563910           2.556438           0.158624           2.556438           0.158624
        5.601503           2.345530           0.128269           2.345529           0.128269
        5.639097           2.175447           0.112584           2.175446           0.112583
        5.676692           2.010518           0.099374           2.010518           0.099373
        5.714285           1.844672           0.115598           1.844671           0.115598
        5.751880           1.702753           0.162832           1.702752           0.162832
        5.789474           1.590655           0.221211           1.590655           0.221210
        5.827067           1.498654           0.283248           1.498654           0.283248
        5.864661           1.428232           0.351898           1.428232           0.351898
        5.902255           1.383429           0.412793           1.383428           0.412793
        5.939849           1.343335           0.460220           1.343335           0.460220
        5.977444           1.306821           0.513617           1.306821           0.513617
        6.015037           1.288462           0.567120           1.288462           0.567120
        6.052631           1.279043           0.613462           1.279044           0.613462
        6.090225           1.283553           0.663321           1.283553           0.663321
        6.127820           1.317312           0.698979           1.317312           0.698979
        6.165413           1.360407           0.698095           1.360407           0.698095
        6.203007           1.388650           0.670680           1.388650           0.670680
        6.240601           1.402408           0.632218           1.402408           0.632218
        6.278195           1.404237           0.580279           1.404237           0.580279
        6.315789           1.381541           0.517387           1.381541           0.517387
        6.353383           1.331074           0.458436           1.331074           0.458436
        6.390977           1.251982           0.414682           1.251982           0.414681
        6.428571           1.154721           0.411213           1.154721           0.411213
        6.466165           1.078210           0.449896           1.078210           0.449895
        6.503759           1.038804           0.497860           1.038804           0.497860
        6.541353           1.023276           0.534064           1.023276           0.534064
        6.578947           1.018983           0.552743           1.018983           0.552743
        6.616541           1.012411           0.551264           1.012411           0.551264
        6.654135           0.987417           0.538916           0.987417           0.538916
        6.691729           0.943099           0.537551           0.943099           0.537551
        6.729323           0.898029           0.557991           0.898029           0.557991
        6.766917           0.867909           0.590702           0.867909           0.590702
        6.804511           0.853436           0.622611           0.853437           0.622611
        6.842104           0.849625           0.645702           0.849625           0.645702
        6.879699           0.846232           0.657480           0.846232           0.657480
        6.917293           0.839219           0.665836           0.839219           0.665836
        6.954887           0.832934           0.671561           0.832934           0.671561
        6.992481           0.826069           0.670467           0.826069           0.670467
        7.030074           0.810487           0.661153           0.810487           0.661154
        7.067669           0.778944           0.655165           0.778944           0.655165
        7.105263           0.741562           0.663900           0.741562           0.663900
        7.142857           0.708372           0.682389           0.708372           0.682389
        7.180451           0.678321           0.706790           0.678321           0.706790
        7.218045           0.653962           0.738589           0.653962           0.738589
        7.255639           0.639821           0.772697           0.639821           0.772697
        7.293232           0.631866           0.802954           0.631866           0.802954
        7.330826           0.625337           0.832141           0.625337           0.832141
        7.368421           0.623687           0.862390           0.623687           0.862390
        7.406014           0.627779           0.888848           0.627779           0.888848
        7.443608           0.632515           0.909836           0.632515           0.909836
        7.481203           0.634043           0.929527           0.634043           0.929527
        7.518797           0.635426           0.954740           0.635426           0.954740
        7.556391           0.646572           0.984186           0.646572           0.984186
        7.593984           0.670246           1.006896           0.670246           1.006895
        7.631578           0.699137           1.013687           0.699137           1.013687
        7.669173           0.718540           1.003381           0.718540           1.003381
        7.706767           0.717219           0.991613           0.717219           0.991613
        7.744360           0.707293           0.996153           0.707293           0.996153
        7.781955           0.706343           1.009680           0.706343           1.009680
        7.819549           0.710044           1.019439           0.710044           1.019439
        7.857142           0.710174           1.029072           0.710174           1.029072
        7.894736           0.710101           1.045819           0.710101           1.045819
        7.932330           0.717680           1.067406           0.717680           1.067406
        7.969924           0.731523           1.088385           0.731523           1.088385
        8.007519           0.752303           1.111832           0.752303           1.111832
        8.045113           0.787714           1.132554           0.787714           1.132554
        8.082706           0.835046           1.139171           0.835046           1.139171
        8.120299           0.885270           1.126884           0.885270           1.126884
        8.157894           0.929232           1.096084           0.929232           1.096084
        8.195488           0.958977           1.051916           0.958977           1.051916
        8.233082           0.971448           1.003741           0.971448           1.003741
        8.270677           0.971095           0.957971           0.971095           0.957971
        8.308270           0.959995           0.913973           0.959995           0.913973
        8.345864           0.934132           0.875779           0.934132           0.875779
        8.383458           0.898125           0.855173           0.898125           0.855173
        8.421052           0.867919           0.854197           0.867919           0.854197
        8.458646           0.854338           0.860143           0.854338           0.860143
        8.496240           0.852605           0.857605           0.852605           0.857605
        8.533834           0.848515           0.843529           0.848515           0.843529
        8.571428           0.833737           0.828386           0.833737           0.828386
        8.609021           0.815645           0.823675           0.815645           0.823675
        8.646616           0.809385           0.824706           0.809385           0.824706
        8.684210           0.814063           0.810187           0.814063           0.810187
        8.721804           0.801942           0.775769           0.801941           0.775769
        8.759398           0.763173           0.750464           0.763173           0.750464
        8.796992           0.720122           0.748083           0.720122           0.748083
        8.834586           0.687265           0.756494           0.687265           0.756494
        8.872180           0.659802           0.764323           0.659802           0.764323
        8.909773           0.630455           0.773707           0.630455           0.773707
        8.947368           0.600401           0.789571           0.600401           0.789571
        8.984962           0.573440           0.813064           0.573440           0.813064
        9.022555           0.553411           0.842321           0.553411           0.842321
        9.060150           0.540895           0.873370           0.540895           0.873370
        9.097744           0.534787           0.905363           0.534787           0.905363
        9.135338           0.536832           0.936386           0.536832           0.936386
        9.172933           0.544727           0.961969           0.544727           0.961969
        9.210526           0.553443           0.982574           0.553443           0.982574
        9.248120           0.561502           1.002389           0.561502           1.002389
        9.285713           0.572606           1.024403           0.572606           1.024403
        9.323307           0.591649           1.045496           0.591649           1.045496
        9.360902           0.617528           1.059343           0.617528           1.059343
        9.398496           0.645840           1.064686           0.645840           1.064686
        9.436090           0.675797           1.060359           0.675797           1.060359
