#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                  Branch is bug-fixes                                
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [ X ] Hartree size                              :  1
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : T-ordered
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        5.000000           1.947868           2.741029           1.947867           2.741029
        5.037593           2.112442           2.747654           2.112442           2.747654
        5.075188           2.282455           2.714961           2.282455           2.714961
        5.112782           2.444504           2.655820           2.444503           2.655821
        5.150376           2.606464           2.585329           2.606462           2.585329
        5.187970           2.785705           2.488181           2.785707           2.488181
        5.225564           2.962320           2.344428           2.962320           2.344427
        5.263157           3.121514           2.167113           3.121514           2.167113
        5.300752           3.276351           1.955223           3.276352           1.955223
        5.338346           3.414059           1.670183           3.414059           1.670182
        5.375940           3.460760           1.309994           3.460758           1.309994
        5.413534           3.376206           0.959765           3.376206           0.959765
        5.451128           3.221510           0.683890           3.221510           0.683891
        5.488721           3.043799           0.452249           3.043799           0.452249
        5.526316           2.815408           0.261681           2.815408           0.261681
        5.563910           2.563855           0.161448           2.563855           0.161448
        5.601503           2.351369           0.129815           2.351368           0.129815
        5.639097           2.180655           0.114033           2.180655           0.114033
        5.676692           2.015879           0.100129           2.015879           0.100129
        5.714285           1.849546           0.115213           1.849546           0.115213
        5.751880           1.706698           0.161825           1.706698           0.161825
        5.789474           1.593808           0.219996           1.593808           0.219996
        5.827067           1.501157           0.281942           1.501157           0.281942
        5.864661           1.430093           0.350674           1.430093           0.350675
        5.902255           1.384912           0.411902           1.384912           0.411902
        5.939849           1.344771           0.459470           1.344772           0.459470
        5.977444           1.308105           0.512837           1.308105           0.512837
        6.015037           1.289565           0.566310           1.289565           0.566310
        6.052631           1.279857           0.612566           1.279857           0.612567
        6.090225           1.283924           0.662526           1.283924           0.662527
        6.127820           1.317356           0.698601           1.317356           0.698601
        6.165413           1.360469           0.698225           1.360469           0.698225
        6.203007           1.389019           0.671074           1.389019           0.671074
        6.240601           1.402991           0.632599           1.402991           0.632599
        6.278195           1.404880           0.580664           1.404880           0.580664
        6.315789           1.382309           0.517883           1.382309           0.517883
        6.353383           1.332136           0.458961           1.332137           0.458961
        6.390977           1.253392           0.414954           1.253392           0.414954
        6.428571           1.156215           0.410996           1.156215           0.410996
        6.466165           1.079444           0.449265           1.079444           0.449265
        6.503759           1.039659           0.497083           1.039659           0.497083
        6.541353           1.023782           0.533298           1.023782           0.533298
        6.578947           1.019197           0.552165           1.019197           0.552165
        6.616541           1.012556           0.550980           1.012556           0.550980
        6.654135           0.987684           0.538788           0.987683           0.538788
        6.691729           0.943487           0.537414           0.943487           0.537414
        6.729323           0.898414           0.557745           0.898414           0.557745
        6.766917           0.868184           0.590418           0.868184           0.590418
        6.804511           0.853572           0.622382           0.853572           0.622382
        6.842104           0.849689           0.645631           0.849689           0.645631
        6.879699           0.846358           0.657565           0.846358           0.657565
        6.917293           0.839464           0.665993           0.839464           0.665993
        6.954887           0.833313           0.671695           0.833313           0.671695
        6.992481           0.826501           0.670522           0.826501           0.670522
        7.030074           0.810925           0.661158           0.810925           0.661158
        7.067669           0.779395           0.655139           0.779395           0.655139
        7.105263           0.742030           0.663844           0.742030           0.663844
        7.142857           0.708892           0.682277           0.708892           0.682277
        7.180451           0.678837           0.706537           0.678837           0.706537
        7.218045           0.654387           0.738246           0.654386           0.738246
        7.255639           0.640164           0.772308           0.640164           0.772309
        7.293232           0.632117           0.802509           0.632117           0.802509
        7.330826           0.625452           0.831687           0.625452           0.831687
        7.368421           0.623686           0.861976           0.623686           0.861976
        7.406014           0.627692           0.888496           0.627692           0.888496
        7.443608           0.632385           0.909549           0.632385           0.909549
        7.481203           0.633856           0.929231           0.633856           0.929231
        7.518797           0.635053           0.954481           0.635053           0.954481
        7.556391           0.646029           0.984164           0.646029           0.984164
        7.593984           0.669739           1.007198           0.669739           1.007198
        7.631578           0.698842           1.014225           0.698842           1.014225
        7.669173           0.718553           1.003989           0.718553           1.003989
        7.706767           0.717482           0.992043           0.717482           0.992043
        7.744360           0.707539           0.996350           0.707539           0.996350
        7.781955           0.706448           1.009825           0.706448           1.009825
        7.819549           0.710091           1.019652           0.710091           1.019652
        7.857142           0.710230           1.029346           0.710230           1.029346
        7.894736           0.710158           1.046133           0.710158           1.046133
        7.932330           0.717770           1.067815           0.717770           1.067815
        7.969924           0.731747           1.088829           0.731747           1.088829
        8.007519           0.752585           1.112197           0.752585           1.112197
        8.045113           0.787940           1.132926           0.787940           1.132926
        8.082706           0.835328           1.139664           0.835328           1.139664
        8.120299           0.885706           1.127394           0.885706           1.127394
        8.157894           0.929759           1.096587           0.929759           1.096587
        8.195488           0.959688           1.052433           0.959688           1.052433
        8.233082           0.972398           1.004111           0.972398           1.004111
        8.270677           0.972175           0.958030           0.972175           0.958030
        8.308270           0.960965           0.913695           0.960965           0.913695
        8.345864           0.934855           0.875383           0.934855           0.875383
        8.383458           0.898732           0.854778           0.898732           0.854778
        8.421052           0.868434           0.853749           0.868434           0.853749
        8.458646           0.854736           0.859689           0.854736           0.859689
        8.496240           0.852898           0.857157           0.852899           0.857157
        8.533834           0.848687           0.843162           0.848687           0.843162
        8.571428           0.833929           0.828187           0.833929           0.828187
        8.609021           0.816007           0.823491           0.816007           0.823491
        8.646616           0.809852           0.824332           0.809852           0.824331
        8.684210           0.814363           0.809558           0.814363           0.809558
        8.721804           0.801919           0.775178           0.801919           0.775178
        8.759398           0.763052           0.750105           0.763052           0.750105
        8.796992           0.720074           0.747834           0.720074           0.747834
        8.834586           0.687268           0.756261           0.687268           0.756261
        8.872180           0.659817           0.764066           0.659817           0.764066
        8.909773           0.630463           0.773427           0.630463           0.773427
        8.947368           0.600369           0.789224           0.600369           0.789224
        8.984962           0.573242           0.812699           0.573242           0.812699
        9.022555           0.553094           0.842123           0.553094           0.842123
        9.060150           0.540630           0.873291           0.540630           0.873291
        9.097744           0.534503           0.905309           0.534503           0.905309
        9.135338           0.536493           0.936476           0.536493           0.936476
        9.172933           0.544481           0.962242           0.544481           0.962242
        9.210526           0.553394           0.982935           0.553394           0.982935
        9.248120           0.561670           1.002676           0.561670           1.002676
        9.285713           0.572831           1.024520           0.572831           1.024520
        9.323307           0.591846           1.045511           0.591846           1.045511
        9.360902           0.617676           1.059288           0.617676           1.059288
        9.398496           0.645922           1.064600           0.645922           1.064600
        9.436090           0.675816           1.060273           0.675816           1.060273
        9.473684           0.701742           1.042394           0.701742           1.042394
        9.511277           0.714334           1.015146           0.714334           1.015146
        9.548872           0.711234           0.988668           0.711234           0.988668
        9.586466           0.697701           0.970608           0.697701           0.970609
        9.624060           0.680360           0.961725           0.680360           0.961725
        9.661654           0.661600           0.961045           0.661600           0.961045
        9.699247           0.645142           0.969403           0.645142           0.969403
        9.736841           0.635361           0.982687           0.635361           0.982687
        9.774436           0.629848           0.996419           0.629848           0.996419
        9.812029           0.626717           1.013414           0.626717           1.013414
        9.849624           0.631590           1.034225           0.631590           1.034225
        9.887218           0.647724           1.051775           0.647724           1.051775
        9.924811           0.670940           1.058137           0.670939           1.058137
        9.962406           0.691738           1.050745           0.691738           1.050745
        9.999999           0.700461           1.035489           0.700461           1.035489
        10.03759           0.696822           1.025345           0.696822           1.025345
        10.07519           0.692172           1.025581           0.692172           1.025581
        10.11278           0.693872           1.028729           0.693872           1.028729
        10.15038           0.697014           1.027333           0.697014           1.027333
        10.18797           0.694404           1.026175           0.694404           1.026175
        10.22556           0.691224           1.032805           0.691224           1.032805
        10.26316           0.695691           1.042962           0.695691           1.042961
        10.30075           0.705710           1.048952           0.705710           1.048952
        10.33835           0.716014           1.050693           0.716014           1.050693
        10.37594           0.725710           1.050328           0.725710           1.050328
        10.41353           0.734807           1.047650           0.734807           1.047650
        10.45113           0.740806           1.043064           0.740806           1.043064
        10.48872           0.743217           1.041211           0.743217           1.041211
        10.52631           0.747267           1.044050           0.747267           1.044050
        10.56391           0.756602           1.048091           0.756602           1.048091
        10.60150           0.771286           1.048408           0.771286           1.048408
        10.63910           0.786870           1.040984           0.786870           1.040984
        10.67669           0.796512           1.027127           0.796512           1.027127
        10.71428           0.796824           1.014043           0.796824           1.014043
        10.75188           0.792126           1.008868           0.792126           1.008869
        10.78947           0.790063           1.011932           0.790063           1.011932
        10.82707           0.794018           1.019650           0.794018           1.019650
        10.86466           0.806942           1.029206           0.806942           1.029206
        10.90225           0.830081           1.034263           0.830081           1.034263
        10.93985           0.859790           1.028715           0.859790           1.028715
        10.97744           0.889227           1.010774           0.889227           1.010774
        11.01504           0.914490           0.981876           0.914490           0.981876
        11.05263           0.930318           0.941800           0.930318           0.941800
        11.09022           0.928841           0.896567           0.928840           0.896567
        11.12782           0.910002           0.858899           0.910002           0.858899
        11.16541           0.883916           0.835681           0.883916           0.835681
        11.20301           0.859424           0.824816           0.859424           0.824816
        11.24060           0.841063           0.820558           0.841063           0.820558
        11.27819           0.827377           0.816885           0.827377           0.816885
        11.31579           0.814061           0.813240           0.814061           0.813240
        11.35338           0.800386           0.812385           0.800386           0.812385
        11.39098           0.788792           0.815863           0.788792           0.815863
        11.42857           0.782785           0.821621           0.782785           0.821621
        11.46616           0.781847           0.824836           0.781847           0.824836
        11.50376           0.781379           0.823741           0.781379           0.823741
        11.54135           0.778260           0.822517           0.778260           0.822517
        11.57895           0.776569           0.823927           0.776569           0.823927
        11.61654           0.778437           0.824741           0.778437           0.824741
        11.65413           0.783036           0.822681           0.783036           0.822681
        11.69173           0.788249           0.815234           0.788249           0.815234
        11.72932           0.788917           0.802215           0.788917           0.802215
        11.76692           0.780624           0.789270           0.780624           0.789270
        11.80451           0.766823           0.784252           0.766823           0.784252
        11.84210           0.755391           0.787491           0.755391           0.787492
        11.87970           0.749181           0.794479           0.749180           0.794479
        11.91729           0.748037           0.803389           0.748037           0.803388
        11.95489           0.753281           0.812346           0.753280           0.812347
        11.99248           0.764962           0.818545           0.764962           0.818545
        12.03007           0.782856           0.818657           0.782856           0.818656
        12.06767           0.803408           0.807601           0.803408           0.807602
        12.10526           0.818173           0.784535           0.818173           0.784535
        12.14286           0.820087           0.755820           0.820087           0.755820
        12.18045           0.809229           0.731825           0.809229           0.731825
        12.21804           0.794137           0.718472           0.794137           0.718472
        12.25564           0.782887           0.712133           0.782887           0.712133
        12.29323           0.776326           0.706457           0.776326           0.706457
        12.33083           0.771153           0.698350           0.771153           0.698350
        12.36842           0.763982           0.688773           0.763982           0.688773
        12.40601           0.754297           0.680425           0.754297           0.680425
        12.44361           0.743548           0.674696           0.743548           0.674696
        12.48120           0.733115           0.672211           0.733115           0.672211
        12.51880           0.726444           0.672536           0.726444           0.672536
        12.55639           0.724271           0.669767           0.724271           0.669767
        12.59398           0.719887           0.662288           0.719887           0.662288
        12.63158           0.710988           0.655782           0.710988           0.655782
        12.66917           0.701025           0.653231           0.701025           0.653231
        12.70677           0.693552           0.653757           0.693552           0.653757
        12.74436           0.689708           0.653801           0.689708           0.653801
        12.78195           0.686755           0.651191           0.686755           0.651191
        12.81955           0.682186           0.647706           0.682186           0.647706
        12.85714           0.677634           0.646012           0.677634           0.646012
        12.89474           0.676132           0.643878           0.676132           0.643878
        12.93233           0.675125           0.637856           0.675125           0.637856
        12.96992           0.671577           0.629847           0.671577           0.629847
        13.00752           0.666124           0.620632           0.666124           0.620632
        13.04511           0.655905           0.610310           0.655905           0.610310
        13.08271           0.640045           0.604632           0.640045           0.604632
