#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                  Branch is bug-fixes                                
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [ X ] Hartree size                              :  1
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : T-ordered
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        5.000000           1.949428           2.752176           1.949429           2.752176
        5.037593           2.114106           2.758563           2.114107           2.758563
        5.075188           2.284154           2.725851           2.284153           2.725851
        5.112782           2.446423           2.666837           2.446424           2.666838
        5.150376           2.609022           2.596392           2.609022           2.596392
        5.187970           2.789089           2.498682           2.789091           2.498682
        5.225564           2.966075           2.353919           2.966075           2.353918
        5.263157           3.125322           2.175601           3.125322           2.175601
        5.300752           3.280073           1.962270           3.280071           1.962270
        5.338346           3.416487           1.675536           3.416487           1.675536
        5.375940           3.460845           1.314952           3.460845           1.314951
        5.413534           3.374655           0.965860           3.374655           0.965860
        5.451128           3.219591           0.691014           3.219591           0.691015
        5.488721           3.041423           0.459737           3.041423           0.459738
        5.526316           2.812343           0.270148           2.812343           0.270149
        5.563910           2.560995           0.171159           2.560995           0.171159
        5.601503           2.349130           0.140042           2.349130           0.140042
        5.639097           2.178696           0.124293           2.178696           0.124293
        5.676692           2.013857           0.110634           2.013858           0.110634
        5.714285           1.847641           0.126170           1.847641           0.126170
        5.751880           1.705112           0.173075           1.705112           0.173074
        5.789474           1.592538           0.231421           1.592538           0.231421
        5.827067           1.500200           0.293463           1.500200           0.293464
        5.864661           1.429427           0.362207           1.429427           0.362206
        5.902255           1.384465           0.423357           1.384465           0.423357
        5.939849           1.344453           0.470868           1.344453           0.470868
        5.977444           1.307931           0.524195           1.307931           0.524195
        6.015037           1.289511           0.577609           1.289511           0.577609
        6.052631           1.279946           0.623814           1.279946           0.623814
        6.090225           1.284176           0.673634           1.284175           0.673634
        6.127820           1.317661           0.709476           1.317661           0.709476
        6.165413           1.360674           0.708895           1.360674           0.708894
        6.203007           1.389066           0.681674           1.389066           0.681674
        6.240601           1.402933           0.643211           1.402933           0.643211
        6.278195           1.404756           0.591293           1.404756           0.591293
        6.315789           1.382117           0.528519           1.382117           0.528519
        6.353383           1.331857           0.469608           1.331857           0.469608
        6.390977           1.252977           0.425661           1.252977           0.425661
        6.428571           1.155720           0.421898           1.155720           0.421898
        6.466165           1.079011           0.460376           1.079011           0.460376
        6.503759           1.039367           0.508297           1.039367           0.508298
        6.541353           1.023637           0.544546           1.023637           0.544546
        6.578947           1.019182           0.563371           1.019182           0.563371
        6.616541           1.012586           0.562091           1.012586           0.562091
        6.654135           0.987692           0.549847           0.987692           0.549847
        6.691729           0.943468           0.548457           0.943468           0.548457
        6.729323           0.898373           0.568806           0.898373           0.568806
        6.766917           0.868141           0.601523           0.868141           0.601523
        6.804511           0.853600           0.633522           0.853600           0.633522
        6.842104           0.849795           0.656710           0.849795           0.656710
        6.879699           0.846458           0.668542           0.846458           0.668541
        6.917293           0.839483           0.676905           0.839482           0.676905
        6.954887           0.833197           0.682616           0.833197           0.682616
        6.992481           0.826323           0.681553           0.826323           0.681553
        7.030074           0.810772           0.672269           0.810772           0.672269
        7.067669           0.779274           0.666286           0.779274           0.666286
        7.105263           0.741938           0.674989           0.741938           0.674989
        7.142857           0.708761           0.693405           0.708761           0.693405
        7.180451           0.678639           0.717739           0.678639           0.717740
        7.218045           0.654209           0.749557           0.654209           0.749557
        7.255639           0.640050           0.783690           0.640050           0.783690
        7.293232           0.632075           0.813909           0.632075           0.813909
        7.330826           0.625445           0.843077           0.625445           0.843077
        7.368421           0.623696           0.873387           0.623696           0.873387
        7.406014           0.627738           0.899936           0.627738           0.899936
        7.443608           0.632467           0.921012           0.632467           0.921012
        7.481203           0.634017           0.940750           0.634017           0.940750
        7.518797           0.635368           0.965994           0.635368           0.965994
        7.556391           0.646482           0.995538           0.646482           0.995538
        7.593984           0.670220           1.018351           0.670220           1.018351
