E[1] [eV],Re(eps)_nk_6,Re(eps)_nk_8,Re(eps)_nk_10,Re(eps)_nk_12,Re(eps)_nk_14,Re(eps)_nk_16,Re(eps)_nk_18
5.000000,2.83019100,2.68101700,2.73616100,2.74649800,2.74157800,2.73773000,2.75234400
5.037593,2.83599400,2.70389500,2.75102600,2.74694200,2.74795900,2.75172100,2.75280900
5.075188,2.79139800,2.68876000,2.72580800,2.71764800,2.71524300,2.73709800,2.72589600
5.112782,2.71150400,2.64566900,2.66419500,2.67591700,2.65622200,2.67728800,2.67649800
5.150376,2.59361100,2.56886100,2.58831000,2.60415200,2.58576300,2.57590700,2.58662400
5.187970,2.41599700,2.47866500,2.49855600,2.47871000,2.48804200,2.45991400,2.46110700
5.225564,2.19862600,2.40149300,2.37912100,2.31404200,2.34325800,2.33821000,2.32799900
5.263157,1.97790200,2.28307600,2.20972800,2.14445200,2.16492800,2.18622700,2.18010700
5.300752,1.75857100,2.03266800,1.96634600,1.95555300,1.95159400,1.95888100,1.96155600
5.338346,1.51495800,1.66763600,1.65072300,1.67671300,1.66486700,1.63872200,1.64483700
5.375940,1.28729900,1.29003200,1.28823400,1.31093400,1.30427700,1.28749400,1.29030900
5.413534,1.11454300,0.95620800,0.91580300,0.95134100,0.95517500,0.97473200,0.97084000
5.451128,0.94807300,0.66132500,0.59780400,0.68258800,0.68031700,0.69235600,0.69136100
5.488721,0.73358300,0.40194900,0.39571800,0.47318700,0.44903200,0.44341600,0.45261000
5.526316,0.43683800,0.22029400,0.30545300,0.27860200,0.25943100,0.27114000,0.26906300
5.563910,0.12989000,0.12723600,0.26123900,0.13373600,0.16042700,0.16972500,0.15833100
5.601503,-0.04632100,0.09259200,0.17877500,0.08838800,0.12929900,0.11338700,0.11271500
5.639097,-0.06973700,0.09183700,0.07339700,0.10356500,0.11354200,0.09399800,0.10025400
5.676692,0.00882900,0.10698200,0.04018900,0.12513400,0.09987100,0.10082800,0.10205300
5.714285,0.13165200,0.13204800,0.09692400,0.14584700,0.11539300,0.12459100,0.12630400
5.751880,0.24627300,0.18968200,0.18879500,0.17426700,0.16228400,0.16865500,0.16941100
5.789474,0.32200900,0.26247000,0.26489500,0.21534100,0.22061900,0.22662700,0.22281400
5.827067,0.33602300,0.30800000,0.30526000,0.26462400,0.28265400,0.28620800,0.28196700
5.864661,0.32372400,0.32796800,0.33841100,0.33139400,0.35138400,0.34365300,0.34498000
5.902255,0.33264700,0.36926400,0.39639200,0.40727500,0.41252100,0.40067700,0.40659300
5.939849,0.36282900,0.44797700,0.46296800,0.46685600,0.46001800,0.45872000,0.46113000
5.977444,0.42773000,0.53847300,0.50645300,0.51309600,0.51333100,0.51576500,0.51205500
6.015037,0.52585600,0.60956500,0.53876000,0.57138500,0.56673800,0.57115200,0.56814100
6.052631,0.61296600,0.64737600,0.59532700,0.63367100,0.61293400,0.62508000,0.62208300
6.090225,0.66976900,0.65821100,0.66522300,0.66975200,0.66274400,0.66445300,0.66471300
6.127820,0.72580000,0.65425800,0.70972500,0.68316700,0.69857500,0.68495600,0.69170300
6.165413,0.77069600,0.64386400,0.71477400,0.68788300,0.69798500,0.69330700,0.69510300
6.203007,0.76062700,0.63662500,0.68714300,0.67797400,0.67075600,0.68087800,0.67552900
6.240601,0.67727200,0.63446900,0.63619100,0.64406000,0.63228300,0.63973900,0.63652500
6.278195,0.54185400,0.60388900,0.56495400,0.58143500,0.58035400,0.57443800,0.57830600
6.315789,0.41297400,0.54535900,0.49805700,0.51168800,0.51757000,0.50336700,0.50598000
6.353383,0.35685600,0.50522100,0.46887100,0.45976200,0.45864900,0.44861000,0.44763300
6.390977,0.38365400,0.49172300,0.46231200,0.42160300,0.41469000,0.42350300,0.42776900
6.428571,0.45379300,0.48917900,0.45590300,0.40035400,0.41091100,0.43560600,0.43980600
6.466165,0.53024500,0.48952300,0.44170800,0.41651100,0.44937100,0.46884000,0.45901100
6.503759,0.59458700,0.48520600,0.43794000,0.46721300,0.49728200,0.49506500,0.47668900
6.541353,0.62645500,0.47353900,0.45799700,0.52478500,0.53352000,0.50649500,0.49950100
6.578947,0.63314500,0.46777900,0.48886300,0.57139600,0.55233500,0.51327100,0.52607000
6.616541,0.64541200,0.47810200,0.52276100,0.59661700,0.55104600,0.52742000,0.55066900
6.654135,0.65255800,0.49253800,0.55926000,0.59388500,0.53879000,0.55036500,0.57050200
6.691729,0.63873000,0.50366700,0.60009700,0.57915600,0.53738400,0.57560400,0.58189000
6.729323,0.59691000,0.51635600,0.63678200,0.56542900,0.55772000,0.59862100,0.58383000
6.766917,0.55636500,0.54636700,0.65529800,0.56393800,0.59042000,0.61766800,0.58534900
6.804511,0.54310400,0.59035100,0.65777000,0.57980300,0.62240100,0.62838300,0.59822000
6.842104,0.54381700,0.63301900,0.65772900,0.60166400,0.64557200,0.62740300,0.62050800
6.879699,0.53580800,0.67691300,0.65253200,0.61621900,0.65739100,0.62171300,0.63912800
6.917293,0.51876500,0.72001900,0.63835600,0.62763200,0.66574300,0.62497100,0.65119800
6.954887,0.52615900,0.74039000,0.62244500,0.64960400,0.67145200,0.64002500,0.66379700
6.992481,0.56573900,0.73657200,0.61634000,0.67799100,0.67037800,0.65902500,0.67622000
7.030074,0.60873300,0.72694900,0.62211700,0.69994300,0.66108000,0.67487400,0.68013300
7.067669,0.63096500,0.72163500,0.63670700,0.71449900,0.65508200,0.68849900,0.67510200
7.105263,0.64394400,0.71816600,0.66054700,0.72355300,0.66377000,0.70306900,0.67479400
7.142857,0.67244400,0.71123000,0.68846300,0.72617200,0.68217100,0.71575500,0.69014700
7.180451,0.71313900,0.70670300,0.71803800,0.72607300,0.70649200,0.72567800,0.71360400
7.218045,0.75188800,0.70615200,0.75514000,0.72465800,0.73829400,0.73529500,0.73688200
7.255639,0.79253100,0.71417000,0.79545400,0.72688400,0.77241100,0.74941000,0.75999500
7.293232,0.83872600,0.74013100,0.82689400,0.74561600,0.80261300,0.77216000,0.78647100
7.330826,0.88335000,0.77928000,0.84280300,0.78439800,0.83176600,0.80146200,0.81916900
7.368421,0.91238200,0.82339800,0.85195900,0.83350200,0.86206700,0.83455300,0.85472300
7.406014,0.91506600,0.86692500,0.87049100,0.88040100,0.88860700,0.87158600,0.88468100
7.443608,0.90400700,0.91250100,0.90056000,0.91981700,0.90967500,0.91376400,0.90896000
7.481203,0.90743000,0.96386100,0.93689000,0.95693500,0.92939200,0.95851900,0.93646100
7.518797,0.93164200,1.00762800,0.97297500,0.99392400,0.95461600,0.99659900,0.96804400
7.556391,0.96976700,1.02510300,0.99940600,1.02539400,0.98414700,1.01819700,0.99729500
7.593984,1.01050500,1.01747300,1.00610300,1.03911600,1.00694500,1.02145500,1.01481900
7.631578,1.04590000,0.99790500,0.99259900,1.02471400,1.01374000,1.00808700,1.01649500
7.669173,1.06959800,0.97191300,0.97538900,0.98717200,1.00339600,0.98290100,1.00509100
7.706767,1.07309100,0.95549500,0.97727900,0.95831800,0.99154100,0.96241200,0.98898600
7.744360,1.06798000,0.96193300,1.00341600,0.95942700,0.99602900,0.96511900,0.98294800
7.781955,1.05964600,0.98111400,1.03271200,0.97716100,1.00962200,0.98720800,0.99080600
7.819549,1.04080100,0.99807500,1.04742800,0.99618300,1.01948000,1.01429700,1.00446100
7.857142,1.03188500,1.01632000,1.05325600,1.01934100,1.02916800,1.04295900,1.02396100
7.894736,1.05500400,1.04291300,1.05644800,1.05579800,1.04596000,1.07256900,1.05195900
7.932330,1.09801900,1.06960500,1.06250200,1.10089000,1.06763100,1.09685700,1.08276000
7.969924,1.13202400,1.09640700,1.07816700,1.13307500,1.08860500,1.11461000,1.10898600
8.007519,1.13477900,1.12510900,1.10325800,1.14143100,1.11194900,1.12257700,1.12598000
8.045113,1.11352000,1.15436200,1.12180800,1.14105700,1.13262700,1.11936800,1.13649100
8.082706,1.09363200,1.17581500,1.12278800,1.14119800,1.13932600,1.11507800,1.13952900
8.120299,1.07160700,1.16818500,1.10640100,1.12714200,1.12708700,1.10904400,1.12535700
8.157894,1.04323600,1.13429900,1.06691400,1.08877700,1.09628100,1.08632400,1.08623500
8.195488,1.01748700,1.09159700,1.02080000,1.02969600,1.05214200,1.04466400,1.03177200
8.233082,0.99429300,1.03091100,0.98533500,0.96771900,1.00396500,0.99800100,0.98332200
8.270677,0.95429400,0.95615600,0.95306700,0.92120700,0.95807900,0.95524400,0.94607200
8.308270,0.90924400,0.89495400,0.92522300,0.90184500,0.91388700,0.91891300,0.91486500
8.345864,0.89639100,0.85578000,0.91584000,0.89657800,0.87555500,0.89490200,0.89312400
8.383458,0.89786000,0.83535100,0.91911600,0.88367700,0.85486900,0.88116500,0.88090900
8.421052,0.86954900,0.82443800,0.91241400,0.86122300,0.85382800,0.86626100,0.87055300
8.458646,0.82136600,0.81838400,0.89081900,0.84697100,0.85978300,0.84917600,0.85922600
8.496240,0.78910500,0.81641700,0.86172400,0.85204500,0.85729700,0.83672700,0.84941000
8.533834,0.77822500,0.82471200,0.82871600,0.86132700,0.84329100,0.83430200,0.83961600
8.571428,0.77939900,0.84093200,0.80151600,0.86290800,0.82823100,0.83572300,0.82807500
8.609021,0.77745000,0.84791700,0.78589200,0.85226300,0.82351900,0.82935500,0.81750700
8.646616,0.75832100,0.83997300,0.76827400,0.82196700,0.82444900,0.81680900,0.80904900
8.684210,0.74075500,0.82762200,0.75058900,0.77919100,0.80984100,0.80170900,0.79967300
8.721804,0.74294900,0.81233300,0.75270800,0.74644200,0.77549100,0.77987600,0.78307800
8.759398,0.76435500,0.78826200,0.77410600,0.73499100,0.75028000,0.75855300,0.76406000
8.796992,0.79842600,0.75480400,0.79597300,0.74179000,0.74788600,0.74835600,0.75499400
8.834586,0.82384900,0.72240700,0.80362800,0.75354100,0.75625900,0.74734600,0.75361300
8.872180,0.82572000,0.71133400,0.79452100,0.76592400,0.76406100,0.75637000,0.75633300
8.909773,0.82278500,0.72970100,0.78068300,0.78068600,0.77343400,0.77599700,0.76805900
