#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                  Branch is bug-fixes                                
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [ X ] Hartree size                              :  1
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : T-ordered
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        5.000000           1.944862           2.681017           1.944862           2.681017
        5.037593           2.087007           2.703895           2.087006           2.703895
        5.075188           2.247434           2.688760           2.247434           2.688761
        5.112782           2.411940           2.645669           2.411938           2.645669
        5.150376           2.575649           2.568861           2.575649           2.568861
        5.187970           2.719139           2.478665           2.719140           2.478665
        5.225564           2.880992           2.401493           2.880991           2.401493
        5.263157           3.109458           2.283076           3.109458           2.283075
        5.300752           3.353267           2.032668           3.353268           2.032667
        5.338346           3.492196           1.667636           3.492195           1.667637
        5.375940           3.494362           1.290032           3.494361           1.290033
        5.413534           3.406756           0.956208           3.406757           0.956208
        5.451128           3.267517           0.661325           3.267517           0.661324
        5.488721           3.066080           0.401949           3.066080           0.401949
        5.526316           2.810986           0.220294           2.810986           0.220294
        5.563910           2.555302           0.127236           2.555302           0.127235
        5.601503           2.330212           0.092592           2.330212           0.092593
        5.639097           2.137362           0.091837           2.137362           0.091837
        5.676692           1.974261           0.106982           1.974261           0.106982
        5.714285           1.821301           0.132048           1.821301           0.132048
        5.751880           1.683725           0.189682           1.683725           0.189682
        5.789474           1.594203           0.262470           1.594203           0.262470
        5.827067           1.538263           0.308000           1.538263           0.308000
        5.864661           1.468929           0.327968           1.468929           0.327968
        5.902255           1.377382           0.369264           1.377382           0.369264
        5.939849           1.304637           0.447977           1.304637           0.447977
