E[1] [eV],Im(eps)_nk_6,Im(eps)_nk_8,Im(eps)_nk_10,Im(eps)_nk_12,Im(eps)_nk_14,Im(eps)_nk_16,Im(eps)_nk_18
5.000000,1.93250800,1.94486200,1.92916700,1.95079700,1.94938100,1.94270400,1.94563900
5.037593,2.13772100,2.08700700,2.09309800,2.11316100,2.11406700,2.09840000,2.11195700
5.075188,2.34353000,2.24743400,2.27108000,2.27432000,2.28411600,2.27649900,2.27831400
5.112782,2.54291400,2.41194000,2.44038700,2.44128300,2.44638900,2.46539500,2.45526100
5.150376,2.74413600,2.57564900,2.60018400,2.62972600,2.60899100,2.63782900,2.63764400
5.187970,2.92881200,2.71913900,2.76861700,2.81783500,2.78906200,2.78864700,2.80000900
5.225564,3.05970200,2.88099200,2.95167100,2.97434600,2.96604500,2.94264200,2.94624500
5.263157,3.14107500,3.10945800,3.14642500,3.10637100,3.12529300,3.11892700,3.11200500
5.300752,3.19993200,3.35326700,3.32763500,3.25947900,3.28003300,3.30341400,3.29621800
5.338346,3.22525400,3.49219600,3.45293700,3.41017100,3.41645100,3.42777900,3.42690400
5.375940,3.18376900,3.49436200,3.48871200,3.46463200,3.46082400,3.43549500,3.43971800
5.413534,3.13177400,3.40675600,3.41164300,3.37521100,3.37463500,3.35639500,3.35916900
5.451128,3.11306600,3.26751700,3.21477500,3.20726800,3.21957600,3.23119800,3.22512100
5.488721,3.10782900,3.06608000,2.95537400,3.03667200,3.04141100,3.04136600,3.04269600
5.526316,3.04693900,2.81098600,2.71656500,2.84348900,2.81231600,2.80768600,2.81883900
5.563910,2.82928800,2.55530200,2.55143700,2.59434600,2.56096600,2.57832200,2.57747300
5.601503,2.49396700,2.33021200,2.42476700,2.33847200,2.34910100,2.36523900,2.35545600
5.639097,2.16263600,2.13736200,2.24203300,2.14040200,2.17866600,2.16937500,2.16798600
5.676692,1.90090300,1.97426100,2.00603700,1.98791300,2.01382700,1.99707200,1.99902000
5.714285,1.73265300,1.82130100,1.80053900,1.85363900,1.84760900,1.84253000,1.84299200
5.751880,1.64582500,1.68372500,1.66732600,1.72714100,1.70507900,1.70555400,1.70921600
5.789474,1.61487900,1.59420300,1.59234700,1.61368000,1.59250700,1.59535400,1.59778300
5.827067,1.59451700,1.53826300,1.53377300,1.51156300,1.50016400,1.50889900,1.50605600
5.864661,1.53274800,1.46892900,1.45781600,1.42326300,1.42939000,1.43890100,1.43339400
5.902255,1.44576300,1.37738200,1.38526400,1.36717000,1.38442900,1.38067700,1.38008800
5.939849,1.35389200,1.30463700,1.34555500,1.33673900,1.34441700,1.33523400,1.34067300
5.977444,1.26366200,1.27566000,1.32603500,1.30513800,1.30788900,1.30327600,1.30662800
6.015037,1.21326300,1.28675600,1.29261800,1.27696800,1.28946400,1.28372900,1.28307200
6.052631,1.21463800,1.31335000,1.25860000,1.27930300,1.27989900,1.28142200,1.27974500
6.090225,1.23087800,1.33695200,1.26240600,1.30486200,1.28412800,1.29878300,1.29292000
6.127820,1.25410600,1.34912300,1.30373800,1.32761000,1.31761200,1.32134100,1.32055700
6.165413,1.31681200,1.35166000,1.35516000,1.35031600,1.36062400,1.34914800,1.35527100
6.203007,1.40942700,1.34510500,1.39666100,1.37852900,1.38901500,1.38348800,1.38617300
6.240601,1.48615900,1.35083600,1.42067900,1.40658800,1.40288200,1.41181000,1.40709700
6.278195,1.49573600,1.36825500,1.41647400,1.41558000,1.40470400,1.41556300,1.41219300
6.315789,1.41211100,1.35314100,1.36752100,1.38540800,1.38206800,1.38256900,1.38505800
6.353383,1.26770800,1.30177900,1.29858300,1.32999500,1.33181000,1.31728800,1.31740200
6.390977,1.13241200,1.24897300,1.24346000,1.26248500,1.25293300,1.23316800,1.23225300
6.428571,1.04595100,1.20461400,1.19954300,1.17721300,1.15567400,1.15193500,1.16070700
6.466165,1.00661300,1.16887800,1.15139900,1.08413200,1.07896200,1.09847600,1.10950900
6.503759,1.00486800,1.13798400,1.08587800,1.01560700,1.03931500,1.06959200,1.06519900
6.541353,1.02464500,1.10167900,1.02296600,0.98287700,1.02358300,1.04524100,1.02475400
6.578947,1.03105300,1.05155600,0.97419000,0.97668100,1.01912900,1.01289600,0.99392700
6.616541,1.03086800,1.00227000,0.93645500,0.98765800,1.01253400,0.97589800,0.97242900
6.654135,1.04356700,0.96247700,0.90662600,0.99575400,0.98764100,0.94379100,0.95781600
6.691729,1.06217700,0.92480000,0.88855300,0.98490600,0.94342000,0.92121300,0.94722900
6.729323,1.06418800,0.87905300,0.88856600,0.95744000,0.89832700,0.90586100,0.93217500
6.766917,1.02833700,0.82999200,0.89951800,0.91676900,0.86809600,0.89700200,0.90585100
6.804511,0.98024900,0.79639600,0.90377700,0.87850400,0.85355200,0.89289400,0.87431500
6.842104,0.94349200,0.77745000,0.90109200,0.85329500,0.84974400,0.88574800,0.85158700
6.879699,0.91501300,0.76689600,0.89797100,0.83515700,0.84639800,0.86567800,0.83908500
6.917293,0.86751500,0.77599500,0.88736800,0.81025300,0.83941700,0.83505300,0.82682600
6.954887,0.79907200,0.80126500,0.86197800,0.78330400,0.83313300,0.80643100,0.81284600
6.992481,0.74440000,0.81717700,0.82447300,0.76806700,0.82626000,0.78606900,0.80358100
7.030074,0.72035200,0.81624600,0.78494000,0.76298300,0.81071200,0.77085100,0.79690600
7.067669,0.70760600,0.80599600,0.74605700,0.75930300,0.77921700,0.75505000,0.78114200
