nk_1,nk_2,N_common_energy_points,rms
6,8,400,0.059933425
6,10,400,0.051230538
6,12,400,0.046613906
6,14,400,0.047341136
6,16,400,0.046614874
6,18,400,0.045784053
8,10,400,0.029926496
8,12,400,0.023870207
8,14,400,0.021588260
8,16,400,0.021207706
8,18,400,0.021065687
10,12,400,0.023982166
10,14,400,0.018612699
10,16,400,0.017744035
10,18,400,0.017907642
12,14,400,0.013811124
12,16,400,0.011690552
12,18,400,0.010847977
14,16,400,0.010354125
14,18,400,0.007406780
16,18,400,0.007002146
