#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                  Branch is bug-fixes                                
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [ X ] Hartree size                              :  1
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : T-ordered
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        5.000000           0.590712           1.980747           0.590712           1.980748
        5.037593           0.612307           2.005007           0.612307           2.005007
        5.075188           0.626575           2.024360           0.626575           2.024360
        5.112782           0.634927           2.056028           0.634927           2.056028
        5.150376           0.654908           2.102620           0.654908           2.102620
        5.187970           0.698291           2.152655           0.698290           2.152655
        5.225564           0.766362           2.186450           0.766362           2.186450
        5.263157           0.842202           2.187380           0.842202           2.187380
        5.300752           0.899031           2.155360           0.899031           2.155360
        5.338346           0.912979           2.115139           0.912979           2.115139
        5.375940           0.893176           2.107629           0.893175           2.107629
        5.413534           0.881568           2.145045           0.881568           2.145045
        5.451128           0.903277           2.199074           0.903277           2.199074
        5.488721           0.946811           2.249946           0.946811           2.249946
        5.526316           1.011900           2.303280           1.011900           2.303280
        5.563910           1.115142           2.343049           1.115142           2.343049
        5.601503           1.244343           2.333363           1.244343           2.333363
        5.639097           1.354672           2.260773           1.354673           2.260773
        5.676692           1.401031           2.155330           1.401031           2.155330
        5.714285           1.380243           2.077011           1.380243           2.077011
        5.751880           1.337188           2.060756           1.337187           2.060756
        5.789474           1.319481           2.097842           1.319480           2.097842
        5.827067           1.350078           2.149463           1.350078           2.149463
        5.864661           1.406130           2.184761           1.406130           2.184762
        5.902255           1.469840           2.222138           1.469840           2.222138
        5.939849           1.570326           2.265865           1.570326           2.265865
        5.977444           1.714764           2.272866           1.714765           2.272866
        6.015037           1.854267           2.222772           1.854267           2.222772
        6.052631           1.961033           2.164491           1.961033           2.164491
        6.090225           2.093339           2.125901           2.093339           2.125900
        6.127820           2.283681           2.026240           2.283680           2.026239
        6.165413           2.435604           1.815293           2.435605           1.815293
        6.203007           2.478578           1.579187           2.478577           1.579187
        6.240601           2.463600           1.391932           2.463600           1.391933
        6.278195           2.452474           1.246311           2.452475           1.246311
        6.315789           2.476321           1.092018           2.476320           1.092017
        6.353383           2.496266           0.863690           2.496266           0.863690
        6.390977           2.417784           0.570906           2.417784           0.570906
        6.428571           2.193145           0.311861           2.193145           0.311861
