#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                  Branch is bug-fixes                                
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [ X ] Hartree size                              :  1
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : T-ordered
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        5.000000           0.547122           2.004504           0.547122           2.004504
        5.037593           0.580319           2.049385           0.580319           2.049385
        5.075188           0.621943           2.088241           0.621943           2.088241
        5.112782           0.672411           2.121287           0.672411           2.121288
        5.150376           0.733184           2.142241           0.733184           2.142241
        5.187970           0.795864           2.142640           0.795864           2.142640
        5.225564           0.846423           2.125056           0.846423           2.125056
        5.263157           0.877623           2.100580           0.877622           2.100580
        5.300752           0.889546           2.081493           0.889546           2.081493
        5.338346           0.890714           2.078457           0.890714           2.078457
        5.375940           0.892885           2.090523           0.892885           2.090523
        5.413534           0.897956           2.115442           0.897956           2.115442
        5.451128           0.914370           2.157063           0.914370           2.157064
        5.488721           0.955376           2.205404           0.955376           2.205404
        5.526316           1.019436           2.244126           1.019436           2.244126
        5.563910           1.098788           2.265297           1.098788           2.265297
        5.601503           1.184542           2.261909           1.184542           2.261909
        5.639097           1.259711           2.234574           1.259710           2.234574
        5.676692           1.316727           2.199519           1.316727           2.199519
        5.714285           1.364569           2.162502           1.364568           2.162502
        5.751880           1.396116           2.117739           1.396116           2.117739
        5.789474           1.399117           2.087300           1.399117           2.087300
        5.827067           1.400357           2.094320           1.400357           2.094320
        5.864661           1.427606           2.120118           1.427606           2.120118
        5.902255           1.470750           2.144634           1.470750           2.144634
        5.939849           1.523512           2.182752           1.523512           2.182752
        5.977444           1.615505           2.236614           1.615506           2.236614
        6.015037           1.762434           2.270198           1.762435           2.270198
        6.052631           1.940515           2.251367           1.940515           2.251367
        6.090225           2.122045           2.186910           2.122045           2.186910
        6.127820           2.317132           2.078826           2.317132           2.078826
        6.165413           2.511106           1.887868           2.511106           1.887867
        6.203007           2.635408           1.611409           2.635408           1.611409
        6.240601           2.649211           1.317284           2.649211           1.317285
        6.278195           2.593951           1.067245           2.593951           1.067245
        6.315789           2.517304           0.840110           2.517304           0.840110
        6.353383           2.392279           0.609565           2.392279           0.609565
        6.390977           2.188599           0.420340           2.188598           0.420339
        6.428571           1.947765           0.325486           1.947765           0.325486
        6.466165           1.732644           0.316192           1.732644           0.316191
        6.503759           1.567286           0.348916           1.567286           0.348915
        6.541353           1.440385           0.394195           1.440385           0.394195
        6.578947           1.337938           0.446325           1.337938           0.446324
        6.616541           1.259943           0.507648           1.259943           0.507648
        6.654135           1.210115           0.567680           1.210115           0.567680
        6.691729           1.180393           0.619354           1.180393           0.619354
        6.729323           1.168882           0.658464           1.168882           0.658464
        6.766917           1.163957           0.677148           1.163958           0.677148
        6.804511           1.154171           0.683041           1.154171           0.683041
        6.842104           1.138012           0.682761           1.138012           0.682761
        6.879699           1.116418           0.682667           1.116418           0.682667
        6.917293           1.093711           0.682615           1.093711           0.682615
        6.954887           1.067586           0.681537           1.067586           0.681537
        6.992481           1.035681           0.683242           1.035681           0.683242
        7.030074           1.000981           0.694329           1.000981           0.694329
        7.067669           0.972457           0.715497           0.972457           0.715497
        7.105263           0.955468           0.738540           0.955468           0.738540
        7.142857           0.943505           0.755863           0.943505           0.755863
        7.180451           0.929656           0.773391           0.929656           0.773391
        7.218045           0.920107           0.797628           0.920107           0.797628
        7.255639           0.922594           0.823349           0.922594           0.823349
        7.293232           0.935811           0.843679           0.935811           0.843679
        7.330826           0.958501           0.854518           0.958501           0.854518
        7.368421           0.984119           0.851341           0.984119           0.851341
        7.406014           1.010740           0.838565           1.010740           0.838565
        7.443608           1.040375           0.805293           1.040375           0.805293
        7.481203           1.049201           0.746257           1.049201           0.746257
        7.518797           1.023135           0.685536           1.023135           0.685536
        7.556391           0.971589           0.643502           0.971589           0.643502
        7.593984           0.910794           0.629992           0.910794           0.629992
        7.631578           0.861336           0.642287           0.861336           0.642287
        7.669173           0.834416           0.662762           0.834416           0.662762
        7.706767           0.825146           0.674318           0.825146           0.674318
        7.744360           0.819901           0.666567           0.819901           0.666567
        7.781955           0.796586           0.644273           0.796586           0.644273
        7.819549           0.750358           0.634110           0.750358           0.634110
        7.857142           0.704112           0.647795           0.704112           0.647794
        7.894736           0.671759           0.672114           0.671759           0.672114
        7.932330           0.649471           0.696263           0.649471           0.696263
        7.969924           0.633213           0.719731           0.633213           0.719731
        8.007519           0.622912           0.740816           0.622912           0.740816
        8.045113           0.616257           0.757056           0.616257           0.757056
        8.082706           0.608237           0.766949           0.608237           0.766949
        8.120299           0.592803           0.776648           0.592803           0.776648
        8.157894           0.575002           0.794868           0.575002           0.794868
        8.195488           0.563216           0.819877           0.563216           0.819877
        8.233082           0.560058           0.846636           0.560058           0.846636
        8.270677           0.565334           0.869699           0.565334           0.869699
        8.308270           0.573557           0.885439           0.573557           0.885439
        8.345864           0.580710           0.898454           0.580710           0.898453
        8.383458           0.591949           0.910262           0.591949           0.910262
        8.421052           0.606905           0.913995           0.606905           0.913995
        8.458646           0.619462           0.908794           0.619462           0.908794
        8.496240           0.625456           0.895168           0.625456           0.895168
        8.533834           0.617929           0.878572           0.617929           0.878572
        8.571428           0.599130           0.869768           0.599130           0.869768
        8.609021           0.577637           0.871685           0.577637           0.871685
        8.646616           0.558663           0.880984           0.558663           0.880984
        8.684210           0.542376           0.894100           0.542376           0.894100
        8.721804           0.527095           0.911358           0.527095           0.911358
        8.759398           0.515546           0.935655           0.515546           0.935655
        8.796992           0.513893           0.963336           0.513893           0.963336
        8.834586           0.519984           0.986766           0.519984           0.986766
        8.872180           0.528010           1.005702           0.528010           1.005702
        8.909773           0.536007           1.023121           0.536007           1.023121
        8.947368           0.545588           1.042209           0.545588           1.042209
        8.984962           0.561312           1.061229           0.561312           1.061229
        9.022555           0.581116           1.074592           0.581116           1.074592
        9.060150           0.599120           1.084676           0.599120           1.084676
        9.097744           0.618533           1.097723           0.618533           1.097724
        9.135338           0.646409           1.110430           0.646409           1.110430
        9.172933           0.681689           1.115982           0.681689           1.115982
        9.210526           0.721250           1.113047           0.721250           1.113047
        9.248120           0.765717           1.098257           0.765717           1.098257
        9.285713           0.808065           1.064226           0.808064           1.064226
        9.323307           0.834514           1.013887           0.834514           1.013887
        9.360902           0.839881           0.960938           0.839881           0.960938
        9.398496           0.830469           0.914191           0.830468           0.914191
        9.436090           0.810661           0.875173           0.810661           0.875173
        9.473684           0.782930           0.847900           0.782930           0.847900
        9.511277           0.756643           0.836243           0.756643           0.836243
        9.548872           0.744754           0.831687           0.744754           0.831687
        9.586466           0.743166           0.813695           0.743166           0.813695
        9.624060           0.728377           0.782295           0.728377           0.782295
        9.661654           0.697199           0.757269           0.697199           0.757268
        9.699247           0.661057           0.744604           0.661057           0.744604
        9.736841           0.625883           0.740672           0.625883           0.740672
        9.774436           0.591764           0.743544           0.591764           0.743544
        9.812029           0.561107           0.753355           0.561107           0.753355
        9.849624           0.535650           0.766722           0.535650           0.766722
        9.887218           0.513219           0.781218           0.513219           0.781218
        9.924811           0.491749           0.798995           0.491749           0.798995
        9.962406           0.474671           0.822328           0.474671           0.822328
        9.999999           0.465565           0.847917           0.465565           0.847917
        10.03759           0.463697           0.871662           0.463697           0.871662
        10.07519           0.467019           0.891704           0.467019           0.891704
        10.11278           0.473635           0.906302           0.473635           0.906302
        10.15038           0.478859           0.915228           0.478859           0.915228
        10.18797           0.480277           0.923949           0.480277           0.923949
        10.22556           0.482805           0.936029           0.482805           0.936029
        10.26316           0.490478           0.947592           0.490478           0.947592
        10.30075           0.500987           0.954509           0.500987           0.954509
        10.33835           0.511178           0.957268           0.511178           0.957268
        10.37594           0.520556           0.956786           0.520556           0.956786
        10.41353           0.527828           0.953061           0.527828           0.953061
        10.45113           0.532240           0.948217           0.532240           0.948217
        10.48872           0.535672           0.942206           0.535672           0.942206
        10.52631           0.535951           0.932887           0.535951           0.932887
        10.56391           0.529595           0.923546           0.529595           0.923546
        10.60150           0.518319           0.918574           0.518319           0.918574
        10.63910           0.505232           0.919338           0.505232           0.919338
        10.67669           0.493679           0.925601           0.493679           0.925601
        10.71428           0.485000           0.934341           0.485000           0.934341
        10.75188           0.477541           0.945607           0.477541           0.945607
        10.78947           0.474106           0.960812           0.474106           0.960812
        10.82707           0.477250           0.975794           0.477250           0.975794
        10.86466           0.483822           0.987388           0.483822           0.987388
        10.90225           0.491743           0.996956           0.491743           0.996956
        10.93985           0.501710           1.005038           0.501710           1.005038
        10.97744           0.514400           1.010674           0.514400           1.010674
        11.01504           0.529268           1.011284           0.529268           1.011284
        11.05263           0.542155           1.005524           0.542155           1.005524
        11.09022           0.549826           0.997479           0.549826           0.997479
        11.12782           0.555237           0.990255           0.555237           0.990255
        11.16541           0.559708           0.981642           0.559708           0.981642
        11.20301           0.560872           0.971867           0.560872           0.971867
        11.24060           0.559628           0.963340           0.559628           0.963340
        11.27819           0.557423           0.954232           0.557423           0.954232
        11.31579           0.550753           0.944235           0.550753           0.944236
        11.35338           0.538714           0.937922           0.538714           0.937922
        11.39098           0.524924           0.938650           0.524924           0.938650
        11.42857           0.514658           0.945547           0.514658           0.945547
        11.46616           0.509840           0.953955           0.509840           0.953955
        11.50376           0.508368           0.960913           0.508368           0.960913
        11.54135           0.508351           0.966082           0.508351           0.966082
        11.57895           0.508382           0.969196           0.508382           0.969196
        11.61654           0.506102           0.971473           0.506102           0.971473
        11.65413           0.501866           0.976884           0.501866           0.976884
        11.69173           0.500574           0.986030           0.500574           0.986030
        11.72932           0.503405           0.994266           0.503405           0.994266
        11.76692           0.507161           1.000506           0.507161           1.000506
        11.80451           0.511547           1.006413           0.511547           1.006413
        11.84210           0.517754           1.011160           0.517755           1.011160
        11.87970           0.524391           1.012877           0.524391           1.012877
        11.91729           0.528683           1.012486           0.528683           1.012486
        11.95489           0.530482           1.012610           0.530482           1.012610
        11.99248           0.530858           1.014009           0.530858           1.014009
        12.03007           0.529609           1.017612           0.529609           1.017612
        12.06767           0.528693           1.025979           0.528693           1.025979
        12.10526           0.532654           1.038007           0.532654           1.038007
        12.14286           0.542320           1.049244           0.542320           1.049244
        12.18045           0.555513           1.057835           0.555513           1.057835
        12.21804           0.570749           1.063334           0.570749           1.063334
        12.25564           0.586774           1.067330           0.586774           1.067330
        12.29323           0.607471           1.070159           0.607471           1.070159
        12.33083           0.633027           1.064379           0.633027           1.064379
        12.36842           0.654088           1.047993           0.654088           1.047993
        12.40601           0.667124           1.028359           0.667124           1.028359
        12.44361           0.674778           1.007597           0.674778           1.007597
        12.48120           0.675051           0.986651           0.675051           0.986651
        12.51880           0.669039           0.971033           0.669039           0.971033
        12.55639           0.662074           0.961620           0.662074           0.961620
        12.59398           0.656394           0.957014           0.656394           0.957014
        12.63158           0.655145           0.955046           0.655145           0.955045
        12.66917           0.657065           0.950830           0.657065           0.950830
        12.70677           0.658825           0.944456           0.658825           0.944456
        12.74436           0.659648           0.936352           0.659648           0.936352
        12.78195           0.657553           0.926821           0.657553           0.926820
        12.81955           0.650458           0.919149           0.650458           0.919148
        12.85714           0.641618           0.918726           0.641618           0.918726
        12.89474           0.638717           0.923844           0.638717           0.923844
        12.93233           0.642304           0.926493           0.642304           0.926493
        12.96992           0.645389           0.924852           0.645389           0.924852
        13.00752           0.646374           0.924608           0.646374           0.924608
        13.04511           0.649662           0.927224           0.649662           0.927224
        13.08271           0.657997           0.930289           0.657997           0.930289
        13.12030           0.672639           0.929419           0.672639           0.929419
        13.15789           0.689379           0.918818           0.689379           0.918818
        13.19549           0.699943           0.900022           0.699943           0.900022
        13.23308           0.703037           0.879547           0.703037           0.879547
        13.27067           0.700233           0.858323           0.700233           0.858323
        13.30827           0.688291           0.838845           0.688291           0.838845
        13.34586           0.669496           0.829454           0.669496           0.829454
        13.38346           0.654306           0.831600           0.654306           0.831600
        13.42105           0.647675           0.837165           0.647675           0.837165
        13.45864           0.645894           0.840899           0.645894           0.840899
        13.49624           0.646599           0.843646           0.646599           0.843646
        13.53383           0.650830           0.844194           0.650830           0.844194
        13.57143           0.655578           0.839195           0.655578           0.839195
        13.60902           0.654851           0.831172           0.654851           0.831172
        13.64662           0.649552           0.827304           0.649552           0.827304
        13.68421           0.645026           0.828393           0.645026           0.828393
        13.72180           0.643341           0.833827           0.643341           0.833827
        13.75940           0.648933           0.841763           0.648933           0.841763
