#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                  Branch is bug-fixes                                
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [ X ] Hartree size                              :  1
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : T-ordered
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        5.000000           0.555376           1.999999           0.555376           1.999999
        5.037593           0.581232           2.044811           0.581232           2.044811
        5.075188           0.617312           2.082824           0.617312           2.082824
        5.112782           0.658242           2.113753           0.658242           2.113753
        5.150376           0.702392           2.139307           0.702392           2.139308
        5.187970           0.752435           2.160985           0.752435           2.160985
        5.225564           0.812260           2.168778           0.812260           2.168779
        5.263157           0.863875           2.151624           0.863875           2.151623
        5.300752           0.886805           2.128428           0.886805           2.128428
        5.338346           0.892256           2.126337           0.892256           2.126337
        5.375940           0.906995           2.144720           0.906994           2.144720
        5.413534           0.938366           2.162693           0.938365           2.162693
        5.451128           0.970025           2.169948           0.970025           2.169948
        5.488721           0.991247           2.182753           0.991247           2.182753
        5.526316           1.020325           2.214942           1.020325           2.214941
        5.563910           1.077401           2.249341           1.077401           2.249341
        5.601503           1.152286           2.260263           1.152287           2.260263
        5.639097           1.218885           2.249743           1.218885           2.249743
        5.676692           1.276610           2.238074           1.276610           2.238074
        5.714285           1.338317           2.222993           1.338318           2.222994
        5.751880           1.400122           2.193256           1.400122           2.193256
        5.789474           1.445744           2.146765           1.445744           2.146765
        5.827067           1.456791           2.103091           1.456791           2.103090
        5.864661           1.446420           2.100348           1.446419           2.100348
        5.902255           1.460183           2.142274           1.460184           2.142274
        5.939849           1.517800           2.196486           1.517800           2.196486
        5.977444           1.610879           2.246360           1.610879           2.246360
        6.015037           1.747398           2.287685           1.747398           2.287686
        6.052631           1.938722           2.289211           1.938722           2.289212
        6.090225           2.154716           2.204290           2.154716           2.204290
        6.127820           2.326653           2.042079           2.326653           2.042079
        6.165413           2.444961           1.857571           2.444963           1.857570
        6.203007           2.534499           1.666981           2.534499           1.666981
        6.240601           2.616032           1.457778           2.616032           1.457778
        6.278195           2.677624           1.190331           2.677624           1.190330
        6.315789           2.644447           0.852769           2.644447           0.852769
        6.353383           2.453621           0.541578           2.453621           0.541578
        6.390977           2.174683           0.360376           2.174683           0.360376
        6.428571           1.907329           0.301636           1.907329           0.301636
        6.466165           1.684860           0.311705           1.684859           0.311705
        6.503759           1.503909           0.368085           1.503909           0.368085
        6.541353           1.379736           0.459127           1.379736           0.459127
        6.578947           1.322755           0.547026           1.322755           0.547026
        6.616541           1.304059           0.593842           1.304059           0.593842
        6.654135           1.278490           0.604542           1.278490           0.604542
        6.691729           1.233685           0.611313           1.233685           0.611313
        6.729323           1.184237           0.632564           1.184237           0.632564
        6.766917           1.148498           0.666241           1.148498           0.666241
        6.804511           1.134129           0.696662           1.134129           0.696662
        6.842104           1.130587           0.707645           1.130586           0.707645
        6.879699           1.119379           0.701422           1.119378           0.701422
        6.917293           1.092108           0.689721           1.092109           0.689721
        6.954887           1.049531           0.688970           1.049531           0.688970
        6.992481           1.007363           0.706915           1.007363           0.706915
        7.030074           0.975984           0.739034           0.975984           0.739035
        7.067669           0.967608           0.778999           0.967608           0.778999
        7.105263           0.987033           0.800377           0.987033           0.800377
        7.142857           1.000972           0.781672           1.000972           0.781672
        7.180451           0.972240           0.755285           0.972240           0.755285
        7.218045           0.923582           0.764610           0.923582           0.764610
        7.255639           0.892698           0.805436           0.892698           0.805436
        7.293232           0.895305           0.855136           0.895305           0.855136
        7.330826           0.928976           0.887888           0.928976           0.887888
        7.368421           0.973781           0.887735           0.973781           0.887735
        7.406014           1.004214           0.857960           1.004214           0.857960
        7.443608           1.008414           0.821259           1.008414           0.821259
        7.481203           0.998386           0.797213           0.998386           0.797213
        7.518797           0.996356           0.783198           0.996355           0.783198
        7.556391           1.004776           0.754474           1.004776           0.754474
        7.593984           0.995844           0.705794           0.995844           0.705794
        7.631578           0.963101           0.662673           0.963101           0.662673
        7.669173           0.921795           0.628751           0.921795           0.628751
        7.706767           0.866438           0.600885           0.866438           0.600885
        7.744360           0.799089           0.594994           0.799089           0.594994
        7.781955           0.738604           0.613701           0.738604           0.613701
        7.819549           0.695851           0.645526           0.695851           0.645526
        7.857142           0.671580           0.676124           0.671580           0.676124
        7.894736           0.654546           0.694433           0.654546           0.694433
        7.932330           0.627356           0.706903           0.627356           0.706903
        7.969924           0.593063           0.733557           0.593063           0.733557
        8.007519           0.570346           0.776257           0.570346           0.776257
